age;job;marital;education;default;balance;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;deposit
38;admin.;single;professional.course;no;-395;no;no;telephone;may;mon;160;1;-1;0;nonexistent;no
57;admin.;married;university.degree;no;1165;no;yes;telephone;may;mon;212;1;-1;0;nonexistent;no
44;admin.;married;university.degree;unknown;2240;yes;no;telephone;may;mon;188;1;-1;0;nonexistent;no
42;technician;single;professional.course;unknown;300;no;no;telephone;may;mon;22;1;-1;0;nonexistent;no
57;admin.;married;university.degree;no;3285;yes;yes;telephone;may;mon;616;1;-1;0;nonexistent;no
40;blue-collar;married;basic.9y;no;3923;no;yes;telephone;may;mon;178;1;-1;0;nonexistent;no
35;admin.;married;university.degree;no;1443;yes;no;telephone;may;mon;355;1;-1;0;nonexistent;no
45;blue-collar;married;basic.9y;no;24;yes;no;telephone;may;mon;225;2;-1;0;nonexistent;no
54;admin.;married;high.school;no;1618;no;no;telephone;may;mon;160;1;-1;0;nonexistent;no
39;housemaid;married;basic.4y;no;517;no;yes;telephone;may;mon;266;1;-1;0;nonexistent;no
60;admin.;married;high.school;no;1521;no;no;telephone;may;mon;253;1;-1;0;nonexistent;no
53;admin.;single;professional.course;no;2823;no;no;telephone;may;mon;179;1;-1;0;nonexistent;no
55;blue-collar;married;basic.4y;unknown;1405;no;no;telephone;may;mon;269;2;-1;0;nonexistent;no
55;technician;married;professional.course;unknown;1535;yes;no;telephone;may;mon;135;1;-1;0;nonexistent;no
50;management;married;university.degree;unknown;1596;no;yes;telephone;may;mon;161;1;-1;0;nonexistent;no
45;services;married;high.school;unknown;1542;yes;no;telephone;may;mon;787;1;-1;0;nonexistent;no
55;unemployed;married;professional.course;unknown;3652;yes;yes;telephone;may;mon;145;1;-1;0;nonexistent;no
25;technician;single;university.degree;no;-1;yes;no;telephone;may;mon;174;1;-1;0;nonexistent;no
47;entrepreneur;married;university.degree;unknown;7180;no;no;telephone;may;mon;449;1;-1;0;nonexistent;no
51;blue-collar;married;basic.9y;no;5291;yes;no;telephone;may;mon;812;1;-1;0;nonexistent;no
42;blue-collar;married;basic.6y;unknown;1384;yes;no;telephone;may;mon;164;1;-1;0;nonexistent;no
42;blue-collar;married;basic.6y;unknown;-191;no;no;telephone;may;mon;366;1;-1;0;nonexistent;no
48;admin.;married;high.school;no;320;no;no;telephone;may;mon;357;1;-1;0;nonexistent;no
37;admin.;married;university.degree;no;146;no;no;telephone;may;mon;232;1;-1;0;nonexistent;no
44;blue-collar;single;basic.9y;no;341;yes;no;telephone;may;mon;91;1;-1;0;nonexistent;no
33;admin.;married;unknown;no;-9;yes;no;telephone;may;mon;273;1;-1;0;nonexistent;no
56;admin.;married;basic.9y;no;-306;yes;no;telephone;may;mon;158;2;-1;0;nonexistent;no
44;blue-collar;single;basic.4y;unknown;4580;yes;yes;telephone;may;mon;177;1;-1;0;nonexistent;no
41;management;married;basic.6y;no;313;no;no;telephone;may;mon;200;1;-1;0;nonexistent;no
44;management;divorced;university.degree;no;10576;yes;no;telephone;may;mon;172;1;-1;0;nonexistent;no
47;admin.;married;university.degree;unknown;-233;yes;no;telephone;may;mon;176;1;-1;0;nonexistent;no
57;unknown;married;unknown;unknown;2453;no;no;telephone;may;mon;211;1;-1;0;nonexistent;no
37;admin.;married;university.degree;unknown;1364;yes;no;telephone;may;mon;214;1;-1;0;nonexistent;no
41;blue-collar;divorced;basic.4y;unknown;281;yes;no;telephone;may;mon;1575;1;-1;0;nonexistent;yes
55;technician;married;university.degree;no;94;no;no;telephone;may;mon;349;1;-1;0;nonexistent;no
33;services;married;high.school;unknown;144;yes;no;telephone;may;mon;337;2;-1;0;nonexistent;no
55;management;married;unknown;unknown;246;yes;no;telephone;may;mon;272;1;-1;0;nonexistent;no
42;blue-collar;married;basic.9y;unknown;92;no;no;telephone;may;mon;208;1;-1;0;nonexistent;no
50;blue-collar;married;basic.4y;unknown;163;yes;no;telephone;may;mon;193;1;-1;0;nonexistent;no
51;blue-collar;married;basic.4y;unknown;49;unknown;unknown;telephone;may;mon;212;1;-1;0;nonexistent;no
38;admin.;married;high.school;unknown;-416;no;no;telephone;may;mon;165;2;-1;0;nonexistent;no
49;entrepreneur;married;university.degree;unknown;409;yes;no;telephone;may;mon;1042;1;-1;0;nonexistent;yes
38;technician;single;university.degree;no;363;no;yes;telephone;may;mon;20;1;-1;0;nonexistent;no
31;admin.;divorced;high.school;no;3706;no;no;telephone;may;mon;246;1;-1;0;nonexistent;no
41;management;married;basic.6y;no;4393;no;no;telephone;may;mon;529;2;-1;0;nonexistent;no
39;admin.;married;university.degree;no;863;yes;yes;telephone;may;mon;192;1;-1;0;nonexistent;no
49;technician;married;basic.9y;no;695;no;no;telephone;may;mon;1467;1;-1;0;nonexistent;yes
34;admin.;married;high.school;no;792;yes;no;telephone;may;mon;188;2;-1;0;nonexistent;no
35;admin.;married;university.degree;no;1020;yes;no;telephone;may;mon;180;2;-1;0;nonexistent;no
57;unknown;married;unknown;unknown;863;yes;no;telephone;may;mon;48;1;-1;0;nonexistent;no
60;admin.;married;unknown;unknown;97;no;yes;telephone;may;mon;213;2;-1;0;nonexistent;no
33;unemployed;married;basic.9y;no;754;no;no;telephone;may;mon;545;1;-1;0;nonexistent;no
42;blue-collar;married;basic.6y;no;1040;no;yes;telephone;may;mon;583;1;-1;0;nonexistent;no
45;services;married;professional.course;no;122;yes;no;telephone;may;mon;221;1;-1;0;nonexistent;no
42;management;married;university.degree;no;880;no;no;telephone;may;mon;426;1;-1;0;nonexistent;no
53;admin.;divorced;university.degree;unknown;501;no;no;telephone;may;mon;287;1;-1;0;nonexistent;no
37;technician;single;professional.course;no;4438;no;no;telephone;may;mon;197;1;-1;0;nonexistent;no
44;blue-collar;married;basic.6y;no;0;no;no;telephone;may;mon;257;1;-1;0;nonexistent;no
54;services;married;unknown;no;271;yes;no;telephone;may;mon;229;1;-1;0;nonexistent;no
49;blue-collar;married;basic.4y;no;102;no;no;telephone;may;mon;55;3;-1;0;nonexistent;no
54;services;married;unknown;no;2;no;no;telephone;may;mon;400;1;-1;0;nonexistent;no
52;admin.;divorced;university.degree;no;4170;no;no;telephone;may;mon;197;1;-1;0;nonexistent;no
52;admin.;divorced;university.degree;no;85;no;no;telephone;may;mon;190;1;-1;0;nonexistent;no
43;services;single;high.school;unknown;431;no;no;telephone;may;mon;21;1;-1;0;nonexistent;no
34;housemaid;married;basic.6y;no;982;yes;no;telephone;may;mon;300;2;-1;0;nonexistent;no
35;admin.;married;high.school;no;408;yes;no;telephone;may;mon;123;2;-1;0;nonexistent;no
42;entrepreneur;married;unknown;unknown;4822;yes;no;telephone;may;mon;293;1;-1;0;nonexistent;no
43;technician;married;unknown;unknown;1250;yes;yes;telephone;may;mon;325;1;-1;0;nonexistent;no
60;retired;divorced;university.degree;unknown;216;no;no;telephone;may;mon;514;1;-1;0;nonexistent;no
58;unemployed;married;basic.4y;unknown;1207;no;no;telephone;may;mon;849;2;-1;0;nonexistent;no
35;services;divorced;high.school;no;791;yes;no;telephone;may;mon;194;1;-1;0;nonexistent;no
55;blue-collar;married;basic.9y;unknown;849;yes;no;telephone;may;mon;212;2;-1;0;nonexistent;no
37;management;married;university.degree;no;239;no;no;telephone;may;mon;337;2;-1;0;nonexistent;no
36;blue-collar;married;high.school;no;1211;no;no;telephone;may;mon;286;1;-1;0;nonexistent;no
52;admin.;divorced;university.degree;no;599;no;no;telephone;may;mon;247;2;-1;0;nonexistent;no
57;blue-collar;divorced;unknown;unknown;825;yes;no;telephone;may;mon;518;1;-1;0;nonexistent;no
56;admin.;married;unknown;no;2183;yes;no;telephone;may;mon;364;1;-1;0;nonexistent;no
48;blue-collar;divorced;basic.4y;unknown;4499;yes;no;telephone;may;mon;178;1;-1;0;nonexistent;no
40;blue-collar;married;high.school;unknown;1289;yes;no;telephone;may;mon;98;1;-1;0;nonexistent;no
49;blue-collar;divorced;high.school;no;4665;no;no;telephone;may;mon;439;1;-1;0;nonexistent;no
41;services;married;high.school;no;3326;no;no;telephone;may;mon;139;1;-1;0;nonexistent;no
45;technician;married;high.school;no;783;yes;no;telephone;may;mon;79;1;-1;0;nonexistent;no
32;admin.;married;university.degree;no;0;yes;yes;telephone;may;mon;175;1;-1;0;nonexistent;no
42;admin.;married;university.degree;no;994;no;yes;telephone;may;mon;262;2;-1;0;nonexistent;no
50;admin.;married;basic.6y;no;1354;no;no;telephone;may;mon;61;1;-1;0;nonexistent;no
31;technician;divorced;professional.course;no;239;yes;yes;telephone;may;mon;78;1;-1;0;nonexistent;no
56;retired;married;basic.4y;no;-311;yes;no;telephone;may;mon;102;2;-1;0;nonexistent;no
41;technician;married;professional.course;unknown;149;yes;no;telephone;may;mon;579;1;-1;0;nonexistent;yes
37;blue-collar;married;basic.6y;no;1464;yes;yes;telephone;may;mon;143;1;-1;0;nonexistent;no
41;technician;married;professional.course;unknown;5773;no;no;telephone;may;mon;677;1;-1;0;nonexistent;no
35;blue-collar;married;unknown;no;278;yes;no;telephone;may;mon;267;1;-1;0;nonexistent;no
37;blue-collar;married;basic.6y;no;2910;yes;no;telephone;may;mon;345;1;-1;0;nonexistent;no
52;management;married;university.degree;no;541;no;no;telephone;may;mon;185;1;-1;0;nonexistent;no
39;management;divorced;university.degree;no;1262;no;no;telephone;may;mon;207;1;-1;0;nonexistent;no
39;housemaid;married;basic.4y;unknown;-538;no;no;telephone;may;mon;69;2;-1;0;nonexistent;no
56;blue-collar;married;basic.4y;unknown;125;no;no;telephone;may;mon;100;2;-1;0;nonexistent;no
34;services;married;high.school;no;0;yes;no;telephone;may;mon;125;2;-1;0;nonexistent;no
45;blue-collar;married;basic.9y;unknown;620;yes;no;telephone;may;mon;461;1;-1;0;nonexistent;yes
43;unemployed;single;university.degree;no;316;yes;no;telephone;may;mon;240;1;-1;0;nonexistent;no
56;management;married;unknown;no;2287;yes;no;telephone;may;mon;70;1;-1;0;nonexistent;no
39;management;married;university.degree;no;198;yes;no;telephone;may;mon;193;1;-1;0;nonexistent;no
53;blue-collar;married;basic.4y;no;460;yes;no;telephone;may;mon;136;1;-1;0;nonexistent;no
38;unknown;divorced;high.school;unknown;1145;yes;no;telephone;may;mon;73;1;-1;0;nonexistent;no
42;blue-collar;married;basic.4y;unknown;-22;yes;no;telephone;may;mon;528;1;-1;0;nonexistent;no
42;blue-collar;married;basic.4y;unknown;685;no;no;telephone;may;mon;541;1;-1;0;nonexistent;no
35;admin.;single;high.school;no;901;yes;no;telephone;may;mon;338;1;-1;0;nonexistent;no
40;admin.;married;university.degree;unknown;351;yes;no;telephone;may;mon;163;1;-1;0;nonexistent;no
51;blue-collar;married;basic.4y;no;0;yes;no;telephone;may;mon;87;1;-1;0;nonexistent;no
60;blue-collar;married;basic.9y;unknown;274;no;no;telephone;may;mon;301;1;-1;0;nonexistent;no
56;entrepreneur;married;unknown;unknown;-213;yes;no;telephone;may;mon;46;1;-1;0;nonexistent;no
39;services;divorced;high.school;unknown;97;yes;no;telephone;may;mon;52;1;-1;0;nonexistent;no
56;entrepreneur;married;unknown;unknown;51;no;no;telephone;may;mon;204;1;-1;0;nonexistent;no
40;blue-collar;married;unknown;no;314;yes;yes;telephone;may;mon;155;1;-1;0;nonexistent;no
36;blue-collar;married;basic.9y;no;6840;yes;yes;telephone;may;mon;98;1;-1;0;nonexistent;no
51;blue-collar;married;unknown;unknown;668;yes;no;telephone;may;mon;71;1;-1;0;nonexistent;no
51;blue-collar;married;unknown;unknown;54;no;no;telephone;may;mon;243;1;-1;0;nonexistent;no
43;technician;single;professional.course;no;1242;yes;no;telephone;may;mon;186;2;-1;0;nonexistent;no
59;services;married;high.school;no;292;no;no;telephone;may;mon;579;2;-1;0;nonexistent;no
24;management;single;university.degree;no;665;yes;no;telephone;may;mon;165;2;-1;0;nonexistent;no
37;blue-collar;single;basic.9y;unknown;1058;yes;yes;telephone;may;mon;163;2;-1;0;nonexistent;no
40;blue-collar;married;basic.9y;unknown;949;no;no;telephone;may;mon;46;1;-1;0;nonexistent;no
42;blue-collar;married;basic.9y;unknown;606;no;no;telephone;may;mon;559;3;-1;0;nonexistent;no
39;services;divorced;high.school;unknown;0;no;no;telephone;may;mon;2033;1;-1;0;nonexistent;no
37;entrepreneur;married;basic.6y;no;404;no;no;telephone;may;mon;85;1;-1;0;nonexistent;no
38;services;married;high.school;no;249;yes;yes;telephone;may;mon;506;1;-1;0;nonexistent;no
56;admin.;divorced;unknown;unknown;3354;no;no;telephone;may;mon;114;2;-1;0;nonexistent;no
40;blue-collar;married;unknown;no;0;no;no;telephone;may;mon;114;2;-1;0;nonexistent;no
54;management;divorced;university.degree;no;589;yes;no;telephone;may;mon;843;2;-1;0;nonexistent;no
43;blue-collar;married;high.school;unknown;12956;no;yes;telephone;may;mon;181;1;-1;0;nonexistent;no
36;services;married;high.school;unknown;873;no;no;telephone;may;mon;427;1;-1;0;nonexistent;no
45;technician;married;university.degree;no;594;yes;yes;telephone;may;mon;292;1;-1;0;nonexistent;no
42;admin.;single;university.degree;unknown;-20;no;no;telephone;may;mon;192;1;-1;0;nonexistent;no
43;services;married;high.school;no;4692;no;no;telephone;may;mon;93;3;-1;0;nonexistent;no
46;management;married;basic.9y;no;486;no;no;telephone;may;mon;128;2;-1;0;nonexistent;no
44;services;married;high.school;no;1593;yes;yes;telephone;may;mon;107;1;-1;0;nonexistent;no
51;admin.;single;basic.6y;no;7606;no;no;telephone;may;mon;303;2;-1;0;nonexistent;no
28;services;married;high.school;no;226;yes;no;telephone;may;mon;81;1;-1;0;nonexistent;no
37;blue-collar;married;basic.9y;no;366;no;no;telephone;may;mon;270;1;-1;0;nonexistent;no
34;technician;married;high.school;no;16;no;no;telephone;may;mon;228;1;-1;0;nonexistent;no
46;blue-collar;married;basic.6y;unknown;565;yes;no;telephone;may;mon;240;1;-1;0;nonexistent;no
42;blue-collar;married;basic.9y;no;19;yes;yes;telephone;may;mon;673;2;-1;0;nonexistent;yes
36;admin.;married;university.degree;no;1082;yes;no;telephone;may;mon;233;3;-1;0;nonexistent;no
54;blue-collar;married;basic.4y;unknown;1713;no;no;telephone;may;mon;102;1;-1;0;nonexistent;no
57;management;married;university.degree;no;14481;no;no;telephone;may;mon;461;1;-1;0;nonexistent;no
51;technician;married;basic.6y;unknown;5724;no;no;telephone;may;mon;250;1;-1;0;nonexistent;no
54;retired;married;high.school;unknown;1451;no;no;telephone;may;mon;130;1;-1;0;nonexistent;no
49;blue-collar;married;basic.4y;unknown;-34;no;no;telephone;may;mon;252;1;-1;0;nonexistent;no
34;admin.;married;university.degree;no;3674;yes;no;telephone;may;mon;138;1;-1;0;nonexistent;no
41;technician;married;professional.course;no;698;no;no;telephone;may;mon;412;1;-1;0;nonexistent;no
38;blue-collar;single;basic.9y;no;4136;yes;no;telephone;may;mon;179;2;-1;0;nonexistent;no
45;management;divorced;university.degree;no;2656;no;no;telephone;may;mon;19;2;-1;0;nonexistent;no
42;technician;married;university.degree;no;2904;no;no;telephone;may;mon;228;2;-1;0;nonexistent;no
34;blue-collar;single;basic.9y;unknown;1004;yes;no;telephone;may;mon;55;1;-1;0;nonexistent;no
48;blue-collar;married;basic.4y;no;410;yes;no;telephone;may;mon;717;1;-1;0;nonexistent;no
37;admin.;married;high.school;unknown;0;yes;no;telephone;may;mon;313;1;-1;0;nonexistent;no
34;blue-collar;single;basic.9y;unknown;0;no;no;telephone;may;mon;289;1;-1;0;nonexistent;no
40;admin.;married;basic.9y;unknown;62;yes;no;telephone;may;mon;683;2;-1;0;nonexistent;no
43;blue-collar;married;basic.6y;no;416;yes;no;telephone;may;mon;1077;1;-1;0;nonexistent;no
33;services;married;high.school;no;2763;no;no;telephone;may;mon;146;2;-1;0;nonexistent;no
32;services;single;basic.6y;no;2984;no;no;telephone;may;mon;167;1;-1;0;nonexistent;no
39;blue-collar;married;high.school;no;143;yes;no;telephone;may;mon;356;2;-1;0;nonexistent;no
43;admin.;married;unknown;no;0;no;no;telephone;may;mon;277;1;-1;0;nonexistent;no
44;blue-collar;married;basic.9y;no;696;yes;no;telephone;may;mon;172;1;-1;0;nonexistent;no
35;student;single;university.degree;unknown;152;no;no;telephone;may;mon;218;1;-1;0;nonexistent;no
35;student;single;university.degree;unknown;-78;yes;yes;telephone;may;mon;217;1;-1;0;nonexistent;no
35;unemployed;married;professional.course;no;867;no;no;telephone;may;mon;67;1;-1;0;nonexistent;no
36;services;single;basic.4y;no;953;no;no;telephone;may;mon;291;1;-1;0;nonexistent;no
35;student;single;university.degree;unknown;443;yes;no;telephone;may;mon;248;1;-1;0;nonexistent;no
36;student;single;basic.9y;no;-1129;yes;no;telephone;may;mon;256;1;-1;0;nonexistent;no
55;housemaid;divorced;university.degree;no;415;no;no;telephone;may;mon;286;1;-1;0;nonexistent;no
59;admin.;married;university.degree;no;260;no;no;telephone;may;mon;477;1;-1;0;nonexistent;no
57;retired;married;unknown;unknown;-411;no;no;telephone;may;mon;611;2;-1;0;nonexistent;no
39;blue-collar;married;professional.course;unknown;1279;yes;no;telephone;may;mon;471;1;-1;0;nonexistent;no
39;housemaid;married;basic.4y;unknown;86;yes;no;telephone;may;mon;381;2;-1;0;nonexistent;no
30;blue-collar;single;unknown;no;-754;yes;no;telephone;may;mon;251;1;-1;0;nonexistent;no
30;blue-collar;single;unknown;no;0;yes;yes;telephone;may;mon;408;1;-1;0;nonexistent;no
50;housemaid;married;basic.4y;unknown;178;no;no;telephone;may;mon;287;1;-1;0;nonexistent;no
40;services;married;high.school;no;278;no;no;telephone;may;mon;322;3;-1;0;nonexistent;no
35;admin.;married;high.school;no;425;yes;no;telephone;may;mon;216;2;-1;0;nonexistent;no
43;technician;married;unknown;unknown;168;no;no;telephone;may;mon;366;2;-1;0;nonexistent;no
36;services;single;basic.6y;unknown;-36;yes;no;telephone;may;mon;210;1;-1;0;nonexistent;no
46;technician;married;basic.4y;unknown;126;yes;no;telephone;may;mon;288;1;-1;0;nonexistent;no
40;technician;married;basic.9y;no;-87;no;no;telephone;may;mon;168;1;-1;0;nonexistent;no
58;retired;married;university.degree;no;6281;no;no;telephone;may;mon;132;1;-1;0;nonexistent;no
42;technician;married;university.degree;no;644;no;no;telephone;may;mon;64;2;-1;0;nonexistent;no
35;admin.;single;university.degree;no;377;no;no;telephone;may;mon;209;2;-1;0;nonexistent;no
43;retired;married;basic.4y;unknown;-271;no;no;telephone;may;mon;410;3;-1;0;nonexistent;no
45;blue-collar;married;basic.4y;no;5839;yes;yes;telephone;may;mon;177;1;-1;0;nonexistent;no
39;admin.;married;professional.course;no;492;yes;no;telephone;may;mon;580;2;-1;0;nonexistent;no
50;services;divorced;professional.course;no;99;yes;no;telephone;may;mon;165;1;-1;0;nonexistent;no
32;management;divorced;basic.4y;unknown;-713;yes;no;telephone;may;mon;127;2;-1;0;nonexistent;no
39;admin.;married;high.school;unknown;32;no;no;telephone;may;mon;357;1;-1;0;nonexistent;no
52;self-employed;married;university.degree;unknown;543;no;no;telephone;may;mon;175;1;-1;0;nonexistent;no
44;admin.;married;professional.course;no;403;yes;no;telephone;may;mon;300;1;-1;0;nonexistent;no
56;blue-collar;married;basic.4y;no;437;no;no;telephone;may;mon;136;1;-1;0;nonexistent;no
48;admin.;married;high.school;no;1772;no;no;telephone;may;mon;125;2;-1;0;nonexistent;no
33;services;married;high.school;unknown;-88;no;yes;telephone;may;mon;189;2;-1;0;nonexistent;no
43;management;married;university.degree;unknown;0;no;yes;telephone;may;mon;213;3;-1;0;nonexistent;no
57;retired;married;high.school;no;853;no;no;telephone;may;mon;238;2;-1;0;nonexistent;no
36;technician;single;professional.course;no;240;no;no;telephone;may;mon;124;1;-1;0;nonexistent;no
34;management;married;university.degree;no;849;yes;no;telephone;may;mon;18;1;-1;0;nonexistent;no
34;services;single;basic.9y;no;318;no;no;telephone;may;mon;730;2;-1;0;nonexistent;no
30;technician;married;university.degree;unknown;703;no;no;telephone;may;mon;40;1;-1;0;nonexistent;no
33;services;divorced;unknown;no;61;no;no;telephone;may;mon;181;2;-1;0;nonexistent;no
32;technician;single;professional.course;no;104;no;no;telephone;may;mon;79;1;-1;0;nonexistent;no
36;technician;single;high.school;no;1996;yes;no;telephone;may;mon;142;2;-1;0;nonexistent;no
36;blue-collar;single;high.school;no;1238;no;yes;telephone;may;mon;389;1;-1;0;nonexistent;no
33;services;single;high.school;no;879;no;no;telephone;may;mon;702;1;-1;0;nonexistent;no
40;technician;divorced;professional.course;no;425;no;no;telephone;may;mon;151;1;-1;0;nonexistent;no
41;blue-collar;married;basic.4y;no;416;yes;no;telephone;may;mon;211;1;-1;0;nonexistent;no
51;services;married;basic.6y;no;844;yes;no;telephone;may;mon;117;1;-1;0;nonexistent;no
36;technician;married;professional.course;no;860;yes;no;telephone;may;mon;232;3;-1;0;nonexistent;no
28;services;married;unknown;no;639;no;no;telephone;may;mon;408;2;-1;0;nonexistent;no
53;services;married;high.school;no;710;yes;yes;telephone;may;mon;370;3;-1;0;nonexistent;no
58;blue-collar;married;basic.9y;unknown;1508;yes;no;telephone;may;mon;179;2;-1;0;nonexistent;no
45;management;married;basic.9y;no;223;no;yes;telephone;may;mon;46;1;-1;0;nonexistent;no
43;technician;married;unknown;no;619;yes;no;telephone;may;mon;200;1;-1;0;nonexistent;no
33;admin.;married;high.school;no;319;no;yes;telephone;may;mon;50;1;-1;0;nonexistent;no
33;admin.;married;high.school;no;480;no;yes;telephone;may;mon;181;1;-1;0;nonexistent;no
27;blue-collar;single;basic.6y;no;213;unknown;unknown;telephone;may;mon;119;1;-1;0;nonexistent;no
42;technician;married;high.school;no;68;no;no;telephone;may;mon;361;1;-1;0;nonexistent;no
43;admin.;divorced;basic.9y;no;2788;no;no;telephone;may;mon;73;3;-1;0;nonexistent;no
42;admin.;married;university.degree;no;7561;no;no;telephone;may;mon;67;2;-1;0;nonexistent;no
27;blue-collar;single;basic.6y;no;-46;no;no;telephone;may;mon;350;1;-1;0;nonexistent;no
34;self-employed;single;university.degree;no;1595;yes;no;telephone;may;mon;150;2;-1;0;nonexistent;no
31;student;single;university.degree;unknown;1046;no;no;telephone;may;mon;332;2;-1;0;nonexistent;no
54;management;divorced;university.degree;no;1382;no;no;telephone;may;mon;611;2;-1;0;nonexistent;no
40;self-employed;married;basic.4y;unknown;217;no;no;telephone;may;mon;58;3;-1;0;nonexistent;no
52;unemployed;married;high.school;unknown;183;yes;no;telephone;may;mon;151;1;-1;0;nonexistent;no
47;management;divorced;university.degree;no;1321;no;no;telephone;may;mon;89;2;-1;0;nonexistent;no
49;housemaid;married;basic.9y;unknown;25;no;no;telephone;may;mon;152;1;-1;0;nonexistent;no
32;admin.;single;high.school;no;4844;no;no;telephone;may;mon;611;2;-1;0;nonexistent;no
49;housemaid;single;high.school;unknown;5345;yes;yes;telephone;may;mon;110;2;-1;0;nonexistent;no
50;blue-collar;married;basic.9y;unknown;812;no;no;telephone;may;mon;463;1;-1;0;nonexistent;no
34;services;married;high.school;no;105;no;no;telephone;may;mon;962;1;-1;0;nonexistent;no
55;blue-collar;married;basic.4y;unknown;-190;no;no;telephone;may;mon;102;2;-1;0;nonexistent;no
47;technician;single;basic.9y;no;625;no;no;telephone;may;mon;10;4;-1;0;nonexistent;no
51;retired;married;professional.course;no;293;no;no;telephone;may;mon;118;3;-1;0;nonexistent;no
47;blue-collar;married;basic.6y;no;1033;no;no;telephone;may;mon;92;2;-1;0;nonexistent;no
56;technician;married;basic.4y;no;1210;yes;no;telephone;may;mon;143;3;-1;0;nonexistent;no
